@RELATION TodosNos

@ATTRIBUTE  abort	NUMERIC
@ATTRIBUTE  blur	NUMERIC
@ATTRIBUTE  change	NUMERIC
@ATTRIBUTE  click	NUMERIC
@ATTRIBUTE  dblclick	NUMERIC
@ATTRIBUTE  dragdrop	NUMERIC
@ATTRIBUTE  error	NUMERIC
@ATTRIBUTE  focus	NUMERIC
@ATTRIBUTE  keydown	NUMERIC
@ATTRIBUTE  keypress	NUMERIC
@ATTRIBUTE  keyup	NUMERIC
@ATTRIBUTE  load	NUMERIC
@ATTRIBUTE  mousedown	NUMERIC
@ATTRIBUTE  mousemove	NUMERIC
@ATTRIBUTE  mouseout	NUMERIC
@ATTRIBUTE  mouseover	NUMERIC
@ATTRIBUTE  mouseup	NUMERIC
@ATTRIBUTE  move	NUMERIC
@ATTRIBUTE  reset	NUMERIC
@ATTRIBUTE  resize	NUMERIC
@ATTRIBUTE  select	NUMERIC
@ATTRIBUTE  submit	NUMERIC
@ATTRIBUTE  unload  NUMERIC
@ATTRIBUTE  CLASS {NONAT,YESAT}

@DATA
0,0,0,8,0,0,0,0,0,0,0,1,7,111,3,7,13,0,0,0,0,0,0,NONAT
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,93,12,15,2,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,4,4,2,0,0,63,8,13,0,0,0,0,0,0,0,NONAT
0,0,0,2,0,0,0,0,16,0,2,0,2,43,6,8,2,0,0,0,0,0,0,NONAT
0,15,0,10,0,0,0,9,17,8,19,0,32,0,0,0,10,0,0,24,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,86,23,28,0,0,0,0,0,0,0,NONAT
0,2,0,13,0,0,0,1,95,66,81,0,15,0,0,0,15,0,0,0,0,0,0,NONAT
1,6,0,2,0,0,0,4,15,14,14,2,5,0,0,0,5,0,0,16,0,0,0,NONAT
0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NONAT
0,4,0,2,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,6,0,0,0,NONAT
0,6,0,1,0,0,0,5,2,2,2,0,1,0,0,0,1,0,0,10,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NONAT
0,1,0,5,0,0,0,1,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,NONAT
0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,NONAT
0,10,0,19,0,0,0,7,46,13,39,0,20,0,0,0,19,0,0,0,0,0,0,NONAT
0,3,0,2,0,0,0,4,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,NONAT
0,4,0,3,0,0,0,0,21,14,19,0,7,0,0,0,7,0,0,18,0,0,0,NONAT
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,NONAT
0,196,0,81,9,0,0,87,22,9,15,9,325,0,12,12,225,0,0,459,0,0,0,NONAT
0,0,0,0,0,0,8,0,4,2,2,2,0,41,3,8,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NONAT
0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,52,13,14,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,6,0,0,0,0,13,144,13,17,12,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,3,0,0,0,0,3,12,1,2,0,0,0,0,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,NONAT
0,1,0,5,0,0,0,3,32,25,27,4,0,0,0,0,5,0,0,11,0,0,0,NONAT
0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0,NONAT
